"Book{title='asdf'"," author='qwer'"," id=1}"
"Book{title='asdf'"," author='asd'"," id=1}"
"Book{title='asdf'"," author='as'"," id=1}"
"Book{title='asd'"," author='wer'"," id=1}"
"Book{title='asd'"," author='asd'"," id=1}"
"Book{title='asdvc'"," author='qwe'"," id=4}"
"Book{title='asdfgbvc'"," author='sadfgbvc x'"," id=1}"
"Book{title='asd'"," author='fg'"," id=1}"
"Book{title='asdfg'"," author='sdf'"," id=1}"
"Book{title='asdg'"," author='wer'"," id=1}"
"Book{title='asd'"," author='asd'"," id=1}"
"Book{title='asd'"," author='qwe'"," id=1}"
"Book{title='asd'"," author='asd'"," id=1}"
"Book{title='asd'"," author='asd'"," id=1}"
